Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR32766901,seedling stage,RNA-Seq,300,6719580900,PRJNA1238074,SAMN47449436,Plant,2317351039,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX28051662,China,Asia,China:Jinan,Illumina HiSeq 2500,D_LK4_1,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 1,2025-03-19T05:22:00Z,1,D1,SRP571476,root10,Drought condition
SRR32766902,seedling stage,RNA-Seq,300,6722955600,PRJNA1238074,SAMN47449435,Plant,2295621214,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX28051661,China,Asia,China:Jinan,Illumina HiSeq 2500,D_W82_3,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 3,2025-03-19T05:23:00Z,1,C3,SRP571476,root9,Drought condition
SRR32766903,seedling stage,RNA-Seq,300,6732542100,PRJNA1238074,SAMN47449434,Plant,2317835805,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX28051660,China,Asia,China:Jinan,Illumina HiSeq 2500,D_W82_2,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 2,2025-03-19T05:23:00Z,1,C2,SRP571476,root8,Drought condition
SRR32766904,seedling stage,RNA-Seq,300,6661066500,PRJNA1238074,SAMN47449433,Plant,2273149210,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX28051659,China,Asia,China:Jinan,Illumina HiSeq 2500,D_W82_1,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 1,2025-03-19T05:22:00Z,1,C1,SRP571476,root7,Drought condition
SRR32766905,seedling stage,RNA-Seq,300,6719420100,PRJNA1238074,SAMN47449432,Plant,2296002490,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX28051658,China,Asia,China:Jinan,Illumina HiSeq 2500,CK_LK4_3,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 3,2025-03-19T05:23:00Z,1,B3,SRP571476,root6,Drought condition
SRR32766906,seedling stage,RNA-Seq,300,6716503500,PRJNA1238074,SAMN47449431,Plant,2296682230,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX28051657,China,Asia,China:Jinan,Illumina HiSeq 2500,CK_LK4_2,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 2,2025-03-19T05:22:00Z,1,B2,SRP571476,root5,Drought condition
SRR32766907,seedling stage,RNA-Seq,300,6724350300,PRJNA1238074,SAMN47449430,Plant,2309823743,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX28051656,China,Asia,China:Jinan,Illumina HiSeq 2500,CK_LK4_1,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 1,2025-03-19T05:23:00Z,1,B1,SRP571476,root4,Drought condition
SRR32766908,seedling stage,RNA-Seq,300,6734238600,PRJNA1238074,SAMN47449429,Plant,2302910066,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX28051655,China,Asia,China:Jinan,Illumina HiSeq 2500,CK_W82_3,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 3,2025-03-19T05:23:00Z,1,A3,SRP571476,root3,Drought condition
SRR32766909,seedling stage,RNA-Seq,300,6725112900,PRJNA1238074,SAMN47449438,Plant,2320702143,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX28051654,China,Asia,China:Jinan,Illumina HiSeq 2500,D_LK4_3,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 3,2025-03-19T05:24:00Z,1,D3,SRP571476,root12,Drought condition
SRR32766910,seedling stage,RNA-Seq,300,6705389700,PRJNA1238074,SAMN47449437,Plant,2300090466,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,2024-07-25,public,W82,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX28051653,China,Asia,China:Jinan,Illumina HiSeq 2500,D_LK4_2,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2025-03-19T00:00:00Z,biological replicate 2,2025-03-19T05:25:00Z,1,D2,SRP571476,root11,Drought condition
