Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,stage,treatment
SRR10640789,RNA-Seq,300,12187500900,PRJNA594515,SAMN13520082,5072450932,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7319880,Dongnong47_susceptible,GSM4212370,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:25:00Z,1,GSM4212370,leaf,SRP235579,24 hours after infestation,infestation
SRR10640790,RNA-Seq,300,13222193400,PRJNA594515,SAMN13520081,5514001176,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7319899,Dongnong47_susceptible,GSM4212371,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:27:00Z,1,GSM4212371,leaf,SRP235579,24 hours after infestation,infestation
SRR10640791,RNA-Seq,300,15341368200,PRJNA594515,SAMN13520080,6414447081,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7319900,Dongnong47_susceptible,GSM4212372,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:29:00Z,1,GSM4212372,leaf,SRP235579,24 hours after infestation,infestation
SRR10640795,RNA-Seq,302,7155093928,PRJNA594515,SAMN13520076,2223266762,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7319904,Dongnong47_susceptible,GSM4212376,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:14:00Z,1,GSM4212376,leaf,SRP235579,48 hours after infestation,infestation
SRR10640796,RNA-Seq,302,6884897246,PRJNA594515,SAMN13520075,2244034506,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7319905,Dongnong47_susceptible,GSM4212377,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:11:00Z,1,GSM4212377,leaf,SRP235579,48 hours after infestation,infestation
SRR10640797,RNA-Seq,302,7119778048,PRJNA594515,SAMN13520074,2265747132,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7319906,Dongnong47_susceptible,GSM4212378,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:13:00Z,1,GSM4212378,leaf,SRP235579,48 hours after infestation,infestation
SRR10640801,RNA-Seq,302,6382002618,PRJNA594515,SAMN13520070,1970059130,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7319910,Dongnong47_susceptible,GSM4212382,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:11:00Z,1,GSM4212382,leaf,SRP235579,96 hours after infestation,infestation
SRR10640802,RNA-Seq,302,6876049250,PRJNA594515,SAMN13520069,2231029874,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7319911,Dongnong47_susceptible,GSM4212383,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:13:00Z,1,GSM4212383,leaf,SRP235579,96 hours after infestation,infestation
SRR10640803,RNA-Seq,302,6792735302,PRJNA594515,SAMN13520068,2166986026,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7319912,Dongnong47_susceptible,GSM4212384,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:12:00Z,1,GSM4212384,leaf,SRP235579,96 hours after infestation,infestation
SRR10640807,RNA-Seq,300,9793631100,PRJNA594515,SAMN13520064,4179339891,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7319916,P203_antixenotic,GSM4212388,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2020-08-26T00:00:00Z,2019-12-10T20:22:00Z,1,GSM4212388,leaf,SRP235579,24 hours after infestation,infestation
