Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR17200342,3 weeks,RNA-Seq,278,9623743999,PRJNA767196,SAMN23894488,Plant,3166376233,ZHEJIANG A&F UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX13380385,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 2h,Gm-L2h_rep1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:31:00Z,1,Gm-L2h_rep1,SRP339213,leaf
SRR17200395,3 weeks,RNA-Seq,280,9444601439,PRJNA767196,SAMN23894490,Plant,3090496015,ZHEJIANG A&F UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX13380332,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 168h,Gm-L168h_rep3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:37:00Z,1,Gm-L168h_rep1,SRP339213,leaf
SRR17200396,3 weeks,RNA-Seq,279,9217882643,PRJNA767196,SAMN23894490,Plant,3008639301,ZHEJIANG A&F UNIVERSITY,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX13380331,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 168h,Gm-L168h_rep2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:33:00Z,1,Gm-L168h_rep1,SRP339213,leaf
SRR17200397,3 weeks,RNA-Seq,279,8819158441,PRJNA767196,SAMN23894490,Plant,2891440305,ZHEJIANG A&F UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13380330,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 168h,Gm-L168h_rep1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:32:00Z,1,Gm-L168h_rep1,SRP339213,leaf
SRR17200398,3 weeks,RNA-Seq,278,9459081427,PRJNA767196,SAMN23894489,Plant,3087139287,ZHEJIANG A&F UNIVERSITY,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX13380329,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 24h,Gm-L24h_rep3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:36:00Z,1,Gm-L24h_rep1,SRP339213,leaf
SRR17200399,3 weeks,RNA-Seq,278,8714280073,PRJNA767196,SAMN23894489,Plant,2845554780,ZHEJIANG A&F UNIVERSITY,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13380328,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 24h,Gm-L24h_rep2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:33:00Z,1,Gm-L24h_rep1,SRP339213,leaf
SRR17200400,3 weeks,RNA-Seq,279,7913221319,PRJNA767196,SAMN23894489,Plant,2593922595,ZHEJIANG A&F UNIVERSITY,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13380327,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 24h,Gm-L24h_rep1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:32:00Z,1,Gm-L24h_rep1,SRP339213,leaf
SRR17200401,3 weeks,RNA-Seq,279,7982143044,PRJNA767196,SAMN23894488,Plant,2597130772,ZHEJIANG A&F UNIVERSITY,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX13380326,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 2h,Gm-L2h_rep3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:36:00Z,1,Gm-L2h_rep1,SRP339213,leaf
SRR17200402,3 weeks,RNA-Seq,279,9147507565,PRJNA767196,SAMN23894488,Plant,2997023620,ZHEJIANG A&F UNIVERSITY,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX13380325,China,Asia,China:Hangzhou,Illumina NovaSeq 6000,cold stress 2h,Gm-L2h_rep2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-10T20:33:00Z,1,Gm-L2h_rep1,SRP339213,leaf
SRR17234919,3 weeks,RNA-Seq,278,10387450168,PRJNA767196,SAMN24046514,Plant,3416488174,ZHEJIANG A&F UNIVERSITY,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX13414038,China,Asia,China: Hangzhou,Illumina NovaSeq 6000,cold stress 0h-1,Gm-L0h_rep3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2022-11-04T00:00:00Z,2021-12-15T03:51:00Z,1,Gm-L0h_rep1,SRP339213,leaf
