Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR25360840,RNA-Seq,300,6350337000,PRJNA996630,SAMN36630201,2030649086,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX21100303,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653622,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:03:00Z,1,GSM7653622,flowers,SRP450502,flowers,Salinity+water deficit+low phosphate
SRR25360841,RNA-Seq,300,6257080800,PRJNA996630,SAMN36630202,2007269802,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX21100302,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653621,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:07:00Z,1,GSM7653621,flowers,SRP450502,flowers,Salinity+acidity+low phosphate
SRR25360842,RNA-Seq,300,6030444900,PRJNA996630,SAMN36630203,1933189887,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21100301,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653620,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:07:00Z,1,GSM7653620,flowers,SRP450502,flowers,Salinity+acidity+low phosphate
SRR25360844,RNA-Seq,300,6649962300,PRJNA996630,SAMN36630205,2104084413,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX21100299,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653618,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:06:00Z,1,GSM7653618,flowers,SRP450502,flowers,Salinity+acidity+water deficit
SRR25360845,RNA-Seq,300,7803978900,PRJNA996630,SAMN36630206,2474602104,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX21100298,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653617,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:06:00Z,1,GSM7653617,flowers,SRP450502,flowers,Salinity+acidity+water deficit
SRR25360850,RNA-Seq,300,6003700800,PRJNA996630,SAMN36630211,1921440234,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21100293,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653612,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:10:00Z,1,GSM7653612,flowers,SRP450502,flowers,Acidity+low phosphate
SRR25360866,RNA-Seq,300,6360453900,PRJNA996630,SAMN36630227,2037154663,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX21100277,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653596,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:03:00Z,1,GSM7653596,flowers,SRP450502,flowers,Cadmium (300 uM CdCl2)
SRR25360877,RNA-Seq,300,7242692700,PRJNA996630,SAMN36630238,2365028154,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX21100266,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653585,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:06:00Z,1,GSM7653585,flowers,SRP450502,flowers,Salinity (15 mM NaCl)
SRR25360888,RNA-Seq,300,6912633600,PRJNA996630,SAMN36630249,2314673322,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21100255,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653574,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:06:00Z,1,GSM7653574,leaves,SRP450502,leaves,Acidity+water deficit+low phosphate+salinity
SRR25360889,RNA-Seq,300,6759264300,PRJNA996630,SAMN36630250,2325057554,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX21100254,Magellan,uncalculated,uncalculated,missing,NextSeq 500,GSM7653573,PAIRED,cDNA,TRANSCRIPTOMIC,Glycine max,ILLUMINA,2023-07-23T00:00:00Z,2023-07-20T10:08:00Z,1,GSM7653573,leaves,SRP450502,leaves,Acidity+water deficit+low phosphate
